group,model,num_runs,learning_rate,weight_decay,batch_size,label_smoothing,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std
convnext_tiny_lr0p0001_wd1e-05_bs16,convnext_tiny,3,0.0001,1e-05,16,0.1,0.9663398692810458,0.0037117048011766365,0.9472000867349705,0.00040927166668133715
convnext_tiny_wd1e-05,convnext_tiny,3,0.0003,1e-05,32,0.1,0.9640522875816994,0.0044208330910028215,0.9462785276738765,0.008482162112729473
swin_t_best_bs16,swin_t,3,0.0001,0.0001,16,0.1,0.9604575163398693,0.003151519856533634,0.9398276142462189,0.0025559007392261693
swin_t_best_bs32,swin_t,3,0.0001,0.0001,32,0.1,0.9545751633986929,0.009672319337875025,0.9281183932346723,0.015777437418292264
