epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.281376279569139,0.17352941176470588,3.4265949791552974,0.5980392156862745,9.999383162408304e-05
2,2.649053280026305,0.7901960784313725,2.12840485198825,0.8411764705882353,9.997532801828658e-05
3,1.4961631709454106,0.9725490196078431,1.5142780130984737,0.9137254901960784,9.994449374809851e-05
4,1.0551118037279914,0.9950980392156863,1.293436983987397,0.9333333333333333,9.990133642141359e-05
5,0.9177206534965365,0.9980392156862745,1.2117284821529015,0.942156862745098,9.98458666866564e-05
6,0.8870558423154494,1.0,1.1692591840145634,0.9450980392156862,9.9778098230154e-05
7,0.8609518443836885,1.0,1.15513144567901,0.9401960784313725,9.9698047772759e-05
8,0.8539140486249737,1.0,1.1539232642042871,0.9450980392156862,9.96057350657239e-05
9,0.8426439710691863,1.0,1.1414716940300138,0.9509803921568627,9.950118288582787e-05
10,0.8398609114628212,0.9990196078431373,1.1199783142875224,0.9490196078431372,9.938441702975689e-05
11,0.8366361781662586,1.0,1.1326292753219604,0.9480392156862745,9.925546630773869e-05
12,0.8251145533486909,1.0,1.1019743049845976,0.9529411764705882,9.911436253643444e-05
13,0.8199913871054556,1.0,1.0942528991138234,0.9470588235294117,9.896114053108829e-05
14,0.8153820507666644,1.0,1.0922992874594295,0.9480392156862745,9.879583809693738e-05
15,0.8122468955376569,1.0,1.0916846478686613,0.9549019607843138,9.861849601988384e-05
16,0.8099752596780365,1.0,1.0818654537200927,0.9509803921568627,9.842915805643157e-05
17,0.8093275430155735,1.0,1.0809023024989108,0.9529411764705882,9.822787092288992e-05
18,0.8072388022553687,1.0,1.0903967890084958,0.9480392156862745,9.801468428384718e-05
19,0.8131800473905078,0.9980392156862745,1.0620079685659969,0.9549019607843138,9.778965073991652e-05
20,0.8083334604899088,1.0,1.0666031260116429,0.9558823529411765,9.75528258147577e-05
21,0.8022844761025671,1.0,1.0522783732881733,0.961764705882353,9.730426794137729e-05
22,0.8038870668878743,0.9990196078431373,1.0394069882000194,0.9607843137254902,9.70440384477113e-05
23,0.8019008683223351,1.0,1.0492216554342533,0.953921568627451,9.67722015414934e-05
24,0.7995570524066102,1.0,1.0357361052550522,0.9637254901960784,9.64888242944126e-05
25,0.8032348976415746,0.9990196078431373,1.039340821200726,0.9598039215686275,9.619397662556436e-05
26,0.7983695493024938,1.0,1.0476509846893012,0.9568627450980393,9.588773128419907e-05
27,0.7952590769412471,1.0,1.0293587726705216,0.9598039215686275,9.557016383177228e-05
28,0.7992181658744812,1.0,1.0416349719552433,0.9509803921568627,9.524135262330099e-05
29,0.7976191791833616,1.0,1.038798533000198,0.9549019607843138,9.49013787880308e-05
30,0.79640652923023,1.0,1.037075213357514,0.95,9.455032620941841e-05
31,0.7971107160343843,1.0,1.049577418495627,0.9490196078431372,9.418828150443471e-05
32,0.7979761962797127,0.9990196078431373,1.0224110385950873,0.961764705882353,9.381533400219321e-05
33,0.7948961325720245,1.0,1.018128126742793,0.957843137254902,9.343157572190959e-05
34,0.7920814967622944,1.0,1.0118156353632608,0.9588235294117647,9.303710135019721e-05
35,0.7923183859563341,1.0,1.0072523395220438,0.9549019607843138,9.263200821770464e-05
36,0.7908714088739134,1.0,0.9965941354340198,0.9627450980392157,9.221639627510079e-05
37,0.7907102783521016,1.0,1.005590238758162,0.953921568627451,9.179036806841354e-05
38,0.7905979860062693,1.0,0.9952906019547406,0.9549019607843138,9.135402871372811e-05
39,0.7906401659928116,1.0,0.9915191066031362,0.957843137254902,9.09074858712512e-05
