status,model,pretrained,learning_rate,weight_decay,batch_size,label_smoothing,epochs_completed,best_epoch,best_val_acc,test_loss,test_acc,early_stopped,return_code,run_name
completed,efficientnet_b3,True,0.0003,1e-05,32,0.1,59,44,0.9519607843137254,1.0650612393672494,0.9312083265571638,True,0,efficientnet_b3_pretrained_lr0p0003_wd1e-05_bs32_ls0p1
completed,efficientnet_b3,True,0.0001,0.0001,16,0.0,59,44,0.9519607843137254,0.2809088917403376,0.9266547406082289,True,0,efficientnet_b3_pretrained_lr0p0001_wd0p0001_bs16_ls0
completed,resnet101,True,0.0003,0.0001,16,0.1,50,35,0.9509803921568627,1.047873588863825,0.9297446739307205,True,0,resnet101_pretrained_lr0p0003_wd0p0001_bs16_ls0p1
completed,efficientnet_b3,True,0.0003,0.0001,16,0.1,55,40,0.9509803921568627,1.057155966458233,0.9300699300699301,True,0,efficientnet_b3_pretrained_lr0p0003_wd0p0001_bs16_ls0p1
skipped,resnet50,True,0.0001,0.0001,16,0.1,33,18,0.95,1.139387109402157,0.9217758985200846,True,0,resnet50_pretrained_lr0p0001_wd0p0001_bs16_ls0p1
skipped,resnet50,True,0.0001,1e-05,16,0.1,33,18,0.95,1.148190754722785,0.9180354529191739,True,0,resnet50_pretrained_lr0p0001_wd1e-05_bs16_ls0p1
completed,efficientnet_b3,True,0.0001,1e-05,16,0.1,53,38,0.95,1.1300240152637093,0.9312083265571638,True,0,efficientnet_b3_pretrained_lr0p0001_wd1e-05_bs16_ls0p1
skipped,resnet50,True,5e-05,0.0001,16,0.1,40,25,0.9480392156862745,1.1495950953187661,0.9208001301024556,True,0,resnet50_pretrained_lr5e-05_wd0p0001_bs16_ls0p1
completed,resnet101,True,0.0003,1e-05,32,0.1,46,31,0.9480392156862745,1.0698767946898249,0.9302325581395349,True,0,resnet101_pretrained_lr0p0003_wd1e-05_bs32_ls0p1
completed,efficientnet_b3,True,0.0001,0.0001,16,0.1,56,41,0.9480392156862745,1.1407490336307569,0.9263294844690193,True,0,efficientnet_b3_pretrained_lr0p0001_wd0p0001_bs16_ls0p1
completed,efficientnet_b3,True,5e-05,0.0001,16,0.1,59,44,0.9480392156862745,1.1863252089302372,0.916083916083916,True,0,efficientnet_b3_pretrained_lr5e-05_wd0p0001_bs16_ls0p1
completed,efficientnet_b0,True,5e-05,0.0001,16,0.1,92,77,0.9470588235294117,1.1605391724940566,0.9234021792161327,True,0,efficientnet_b0_pretrained_lr5e-05_wd0p0001_bs16_ls0p1
completed,efficientnet_b3,True,0.0001,1e-05,16,0.0,68,53,0.9470588235294117,0.27985482200958073,0.9255163441209953,True,0,efficientnet_b3_pretrained_lr0p0001_wd1e-05_bs16_ls0
skipped,resnet50,True,5e-05,1e-05,32,0.1,83,68,0.946078431372549,1.1613467246037146,0.9230769230769231,True,0,resnet50_pretrained_lr5e-05_wd1e-05_bs32_ls0p1
completed,resnet101,True,0.0001,1e-05,16,0.0,113,98,0.946078431372549,0.35597052367872356,0.9102293055781427,True,0,resnet101_pretrained_lr0p0001_wd1e-05_bs16_ls0
completed,efficientnet_b3,True,0.0003,0.0001,32,0.1,49,34,0.946078431372549,1.0882805375417746,0.9264921125386242,True,0,efficientnet_b3_pretrained_lr0p0003_wd0p0001_bs32_ls0p1
completed,efficientnet_b3,True,5e-05,1e-05,16,0.1,59,44,0.946078431372549,1.186164358104607,0.9172223125711498,True,0,efficientnet_b3_pretrained_lr5e-05_wd1e-05_bs16_ls0p1
skipped,resnet50,True,0.0001,0.0001,16,0.0,35,20,0.9450980392156862,0.3013094267713996,0.9175475687103594,True,0,resnet50_pretrained_lr0p0001_wd0p0001_bs16_ls0
skipped,resnet50,True,5e-05,1e-05,16,0.1,40,25,0.9450980392156862,1.1477882050560595,0.9221011546592942,True,0,resnet50_pretrained_lr5e-05_wd1e-05_bs16_ls0p1
completed,efficientnet_b0,True,0.0001,0.0001,16,0.1,56,41,0.9450980392156862,1.1365504020558157,0.9269799967474386,True,0,efficientnet_b0_pretrained_lr0p0001_wd0p0001_bs16_ls0p1
completed,efficientnet_b0,True,0.0001,1e-05,16,0.1,56,41,0.9450980392156862,1.1364589150620004,0.9269799967474386,True,0,efficientnet_b0_pretrained_lr0p0001_wd1e-05_bs16_ls0p1
completed,efficientnet_b3,True,5e-05,1e-05,16,0.0,81,66,0.9450980392156862,0.2905523051488233,0.9250284599121809,True,0,efficientnet_b3_pretrained_lr5e-05_wd1e-05_bs16_ls0
skipped,resnet50,True,5e-05,0.0001,32,0.1,84,69,0.9441176470588235,1.152195493037729,0.9203122458936412,True,0,resnet50_pretrained_lr5e-05_wd0p0001_bs32_ls0p1
completed,efficientnet_b0,True,0.0001,0.0001,16,0.0,61,46,0.9441176470588235,0.2989372602224854,0.9209627581720605,True,0,efficientnet_b0_pretrained_lr0p0001_wd0p0001_bs16_ls0
completed,efficientnet_b0,True,0.0001,1e-05,16,0.0,61,46,0.9441176470588235,0.29894050646220105,0.9208001301024556,True,0,efficientnet_b0_pretrained_lr0p0001_wd1e-05_bs16_ls0
skipped,resnet50,True,0.0001,0.0001,32,0.1,58,43,0.9431372549019608,1.1240499086797984,0.9299073020003252,True,0,resnet50_pretrained_lr0p0001_wd0p0001_bs32_ls0p1
completed,efficientnet_b0,True,0.0001,0.0001,32,0.1,76,61,0.9431372549019608,1.17641079231944,0.9191738494064076,True,0,efficientnet_b0_pretrained_lr0p0001_wd0p0001_bs32_ls0p1
completed,efficientnet_b0,True,0.0001,1e-05,32,0.1,76,61,0.9431372549019608,1.1763473655328767,0.9191738494064076,True,0,efficientnet_b0_pretrained_lr0p0001_wd1e-05_bs32_ls0p1
completed,efficientnet_b3,True,5e-05,0.0001,32,0.1,113,98,0.9431372549019608,1.1638087078524249,0.9186859651975932,True,0,efficientnet_b3_pretrained_lr5e-05_wd0p0001_bs32_ls0p1
completed,efficientnet_b3,True,5e-05,1e-05,32,0.1,113,98,0.9431372549019608,1.1630075920459837,0.9190112213368027,True,0,efficientnet_b3_pretrained_lr5e-05_wd1e-05_bs32_ls0p1
