epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.601518393497841,0.022549019607843137,4.515374770818972,0.07058823529411765,4.999691581204152e-05
2,4.315559561112348,0.2411764705882353,4.213771861207252,0.29215686274509806,4.998766400914329e-05
3,3.773669215744617,0.6058823529411764,3.5289548668206905,0.5313725490196078,4.9972246874049254e-05
4,2.930893778333477,0.7833333333333333,2.6946065098631617,0.6725490196078432,4.995066821070679e-05
5,2.0792175377116484,0.9019607843137255,2.0589173223458084,0.7764705882352941,4.99229333433282e-05
6,1.4730211487003402,0.9588235294117647,1.6702688651926376,0.8431372549019608,4.9889049115077e-05
7,1.1294520415511786,0.9813725490196078,1.462743376750572,0.8637254901960785,4.98490238863795e-05
8,0.9942386725369622,0.9980392156862745,1.3602150870304481,0.8872549019607843,4.980286753286195e-05
9,0.9205744752696916,0.9990196078431373,1.3223167559679816,0.8941176470588236,4.9750591442913934e-05
10,0.8878981237318001,1.0,1.2952068300808177,0.8950980392156863,4.9692208514878444e-05
11,0.8770901044209798,1.0,1.2728761083939497,0.9058823529411765,4.9627733153869345e-05
12,0.8569937766767015,1.0,1.2565572841494692,0.9058823529411765,4.955718126821722e-05
13,0.85262277173061,1.0,1.2545020318498799,0.9088235294117647,4.9480570265544144e-05
14,0.8457731653662289,1.0,1.227710293788536,0.9137254901960784,4.939791904846869e-05
15,0.8390341272541121,1.0,1.2460273209740134,0.9068627450980392,4.930924800994192e-05
16,0.8352565681233125,1.0,1.244265510521683,0.9009803921568628,4.921457902821578e-05
17,0.8350728278066598,1.0,1.2287875652313232,0.9107843137254902,4.911393546144496e-05
18,0.828781649645637,1.0,1.2186588983909756,0.9127450980392157,4.900734214192359e-05
19,0.8247205047046438,1.0,1.2155061357161578,0.9137254901960784,4.889482536995826e-05
20,0.8260717090438394,1.0,1.2045559616649852,0.9156862745098039,4.877641290737885e-05
21,0.8211612687391393,1.0,1.1987857453963335,0.9166666666666666,4.865213397068864e-05
22,0.8221697400597965,1.0,1.187158394794838,0.9196078431372549,4.852201922385565e-05
23,0.8199201186498006,1.0,1.2046881689744837,0.9176470588235294,4.83861007707467e-05
24,0.8199478481330124,1.0,1.1921276560016707,0.9156862745098039,4.82444121472063e-05
25,0.8157365289388918,1.0,1.1870322769763424,0.9186274509803921,4.809698831278218e-05
26,0.8125970896552591,1.0,1.200205013331245,0.9196078431372549,4.794386564209954e-05
27,0.8121294521817974,1.0,1.193567185308419,0.9215686274509803,4.778508191588614e-05
28,0.8116950726976582,1.0,1.1788490356183519,0.9235294117647059,4.7620676311650497e-05
29,0.8104650777928969,1.0,1.1796936633540134,0.9156862745098039,4.74506893940154e-05
30,0.80846927095862,1.0,1.1692844923804788,0.9225490196078432,4.7275163104709206e-05
31,0.80714092465008,1.0,1.1876968799852858,0.9156862745098039,4.7094140752217356e-05
32,0.8066682979172352,1.0,1.1776105001860975,0.9156862745098039,4.6907667001096604e-05
33,0.8064944323371438,1.0,1.1681952018363804,0.9166666666666666,4.6715787860954796e-05
34,0.8066384605332917,1.0,1.1731099427915086,0.9225490196078432,4.6518550675098603e-05
35,0.8031167897523618,1.0,1.1615434637256696,0.9245098039215687,4.631600410885232e-05
36,0.8045235437505386,1.0,1.1669036070505778,0.9215686274509803,4.610819813755039e-05
37,0.8034507634592991,1.0,1.1808091187009624,0.9196078431372549,4.589518403420677e-05
38,0.8018820893530753,1.0,1.1668590372683956,0.9205882352941176,4.5677014356864056e-05
39,0.8021236104123732,1.0,1.1711722095807393,0.9215686274509803,4.54537429356256e-05
40,0.8038543771294987,1.0,1.1548059779054978,0.9196078431372549,4.52254248593737e-05
41,0.8006119683677075,1.0,1.1563736401352227,0.9137254901960784,4.499211646217728e-05
42,0.8003542965533686,1.0,1.1610945327609192,0.9205882352941176,4.475387530939227e-05
43,0.80026086732453,1.0,1.160643614507189,0.9176470588235294,4.451076018345826e-05
44,0.798878264427185,1.0,1.1575882516655267,0.9196078431372549,4.426283106939475e-05
45,0.7985418850300359,1.0,1.1523668976391064,0.9215686274509803,4.40101491400008e-05
46,0.7986271259831447,1.0,1.1555447784124637,0.9303921568627451,4.375277674076151e-05
47,0.7973372660431207,1.0,1.1423029376011269,0.9294117647058824,4.349077737446526e-05
48,0.795941834823758,1.0,1.1375383028797075,0.9323529411764706,4.322421568553531e-05
49,0.7972997270378412,1.0,1.1448850028655109,0.9303921568627451,4.295315744407974e-05
50,0.7968563271503822,1.0,1.1495326014126048,0.9245098039215687,4.26776695296637e-05
51,0.7959047055711933,1.0,1.13102086501963,0.9323529411764706,4.239781991480787e-05
52,0.7955539462613125,1.0,1.1323646800190794,0.9313725490196079,4.211367764821723e-05
53,0.7943723199414272,1.0,1.132047269858566,0.9333333333333333,4.1825312837744344e-05
54,0.7953404206855624,1.0,1.1421214963875566,0.9284313725490196,4.153279663309131e-05
55,0.7938637983565237,1.0,1.1395150296828327,0.9205882352941176,4.12362012082546e-05
56,0.7947409872915231,1.0,1.1254088464905234,0.9323529411764706,4.0935599743717254e-05
57,0.7931255950647242,1.0,1.1331359867956123,0.9313725490196079,4.0631066408392644e-05
58,0.7934019446372986,1.0,1.1306332443274705,0.9294117647058824,4.032267634132443e-05
59,0.793167462535933,1.0,1.1404274716096765,0.9205882352941176,4.001050563314712e-05
60,0.7921036897921094,1.0,1.1313695711248062,0.9235294117647059,3.969463130731185e-05
61,0.7939723007819232,1.0,1.1356874173762752,0.9245098039215687,3.937513130108198e-05
62,0.7934268605475332,1.0,1.1305069329691868,0.9235294117647059,3.905208444630329e-05
63,0.7923214288318858,1.0,1.1393903802422916,0.9215686274509803,3.872557044995331e-05
64,0.7928122821976157,1.0,1.1235442306481156,0.9264705882352942,3.839566987447493e-05
65,0.7912428215438244,1.0,1.1227266447216857,0.9284313725490196,3.806246411789874e-05
66,0.7911739498961206,1.0,1.1144036643645343,0.9294117647058824,3.77260353937593e-05
67,0.7906364854644327,1.0,1.1179047030561111,0.9303921568627451,3.738646671081021e-05
68,0.7906654336873222,1.0,1.122361071437013,0.9254901960784314,3.7043841852542895e-05
