epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.452040480632408,0.06568627450980392,3.578480635437311,0.34705882352941175,9.999383162408304e-05
2,2.63912915762733,0.4764705882352941,1.4946095793854957,0.7098039215686275,9.997532801828658e-05
3,1.158333209916657,0.7980392156862746,0.7721959093037774,0.8333333333333334,9.994449374809851e-05
4,0.5259792299831615,0.9323529411764706,0.4780469192009346,0.9049019607843137,9.990133642141359e-05
5,0.2950755347223843,0.9656862745098039,0.3699194086532967,0.9156862745098039,9.98458666866564e-05
6,0.20520290101275723,0.9852941176470589,0.31878901001285104,0.9294117647058824,9.9778098230154e-05
7,0.14266067987271383,0.9931372549019608,0.291986506330032,0.9303921568627451,9.9698047772759e-05
8,0.12765624417978175,0.9911764705882353,0.2704274317505313,0.9352941176470588,9.96057350657239e-05
9,0.1005738161212089,0.9921568627450981,0.26381610786797954,0.9323529411764706,9.950118288582787e-05
10,0.07892836628883493,0.9980392156862745,0.25190699243662407,0.9343137254901961,9.938441702975689e-05
11,0.07616033830917349,0.9970588235294118,0.25211390630871644,0.9352941176470588,9.925546630773869e-05
12,0.07127793288844474,0.996078431372549,0.2938354477286339,0.9225490196078432,9.911436253643444e-05
13,0.06455235088280603,0.996078431372549,0.24961788636796614,0.9274509803921569,9.896114053108829e-05
14,0.05820858312003753,0.9950980392156863,0.24225638210043018,0.9333333333333333,9.879583809693738e-05
15,0.04801334177746492,1.0,0.24054679427953327,0.9372549019607843,9.861849601988384e-05
16,0.04625309991887679,0.9980392156862745,0.2798127745296441,0.9284313725490196,9.842915805643157e-05
17,0.033854679631836276,0.996078431372549,0.24039961339211932,0.9323529411764706,9.822787092288992e-05
18,0.03211051949537268,0.9970588235294118,0.2201015732598071,0.9401960784313725,9.801468428384718e-05
19,0.0383326795098244,0.9980392156862745,0.23654145407033902,0.9294117647058824,9.778965073991652e-05
20,0.028112192402648575,1.0,0.20996919974100356,0.9392156862745098,9.75528258147577e-05
21,0.02828989842650937,0.9970588235294118,0.2158361319525569,0.9401960784313725,9.730426794137729e-05
22,0.0303778021505066,0.9970588235294118,0.2486840469287891,0.9284313725490196,9.70440384477113e-05
23,0.032943286405255394,0.9990196078431373,0.22687772945592216,0.9382352941176471,9.67722015414934e-05
24,0.020706288034425063,1.0,0.19770432066391497,0.9470588235294117,9.64888242944126e-05
25,0.021764740954134977,0.9990196078431373,0.22193897584197567,0.9352941176470588,9.619397662556436e-05
26,0.01777865967037631,0.9980392156862745,0.2041102707970376,0.9392156862745098,9.588773128419907e-05
27,0.013116094675919442,0.9990196078431373,0.2090957608658309,0.9411764705882353,9.557016383177228e-05
28,0.0304853925992753,0.9970588235294118,0.24309236918594324,0.9372549019607843,9.524135262330099e-05
29,0.0288197205237606,0.9980392156862745,0.21892066358716464,0.9382352941176471,9.49013787880308e-05
30,0.019268009747725492,0.9980392156862745,0.2169531459901847,0.9343137254901961,9.455032620941841e-05
31,0.021395626328155105,0.9980392156862745,0.22911494037172958,0.9333333333333333,9.418828150443471e-05
32,0.020519909857973164,0.9990196078431373,0.2709739733706502,0.9264705882352942,9.381533400219321e-05
33,0.012998175537031071,1.0,0.21331224299455975,0.9411764705882353,9.343157572190959e-05
34,0.04273595647776828,0.9882352941176471,0.45781734215059117,0.9009803921568628,9.303710135019721e-05
