epoch,lr,train_loss,train_miou,train_pixel_acc,train_mean_acc,val_loss,val_miou,val_pixel_acc,val_mean_acc,val_per_class_iou
1,0.0002999259840548597,0.7492089067634783,0.26270919763960443,0.4842719204496731,0.4367879566389694,0.6951689987539131,0.3365288030292062,0.5807913844070256,0.4971761338548905,"[0.7552550706822373, 0.3613916263713988, 0.6646089526541101, 0.28853761724549254, 0.15728203357564785, 0.1452223819314957, 0.0, 0.31993274177326714]"
2,0.0002997040092642407,0.6520929752211821,0.3897655898296106,0.6340172512267107,0.5373617764807223,0.6580136702439495,0.39655671228617106,0.6410486125952785,0.5498089680202597,"[0.7504229820796325, 0.39527822562909776, 0.6690684252082337, 0.3472640394762111, 0.32624274049314406, 0.3408567888902811, 0.0, 0.3433204965127685]"
3,0.000299334294690462,0.5985555013543681,0.4289986457055964,0.6708885037667522,0.5704898775190637,0.5993717725031844,0.4590160745173481,0.7170997682278161,0.5835622331794866,"[0.8085074901618903, 0.5052761384770434, 0.7108964336970349, 0.42756796653954976, 0.345560208482616, 0.5397135000089869, 0.0, 0.33460685877166346]"
4,0.0002988172051971717,0.5430561907981571,0.45194971977431553,0.6913871279142693,0.5942893066184941,0.5570969837848271,0.463612096579788,0.7197558293651903,0.6118890299284168,"[0.7693367005682209, 0.5047713068025791, 0.7127310484172715, 0.41377793036086435, 0.33796171435697114, 0.5387890289347466, 0.0, 0.4315290431976503]"
5,0.00029815325108927063,0.4960568374709079,0.47861218192658994,0.7185670455192896,0.6163588291288495,0.533133805355179,0.4812009618005744,0.735973779436709,0.6100160984386811,"[0.78657572371334, 0.5189716140412126, 0.7075184213229732, 0.4552979540532251, 0.3670832712726344, 0.5936503352893558, 0.0, 0.4205103747118541]"
6,0.00029734308760930326,0.4768628234926023,0.47551247571936706,0.7156971472372716,0.6159165817032226,0.5348925869041514,0.4635767753745135,0.7030372054833913,0.6075380399775709,"[0.8113670858398775, 0.521202202817374, 0.7316710848516164, 0.4753641692298764, 0.34957501191084017, 0.4275930185399629, 0.0, 0.3918416298065604]"
7,0.00029638751429081204,0.46389417507146535,0.48222897056257397,0.7265267309790239,0.6144545894561586,0.5140303050246194,0.46949192163526354,0.7236363565349222,0.6031700526171562,"[0.7909219840863466, 0.5212570968751397, 0.7188218701930975, 0.3886249543190168, 0.3735477351844208, 0.5205924966226246, 0.0, 0.44216923580146184]"
8,0.0002952874741692946,0.4488674425765088,0.4879886451447902,0.7296334467051432,0.6210276271981581,0.507860648297818,0.47169396591342483,0.7185303868846408,0.6100867217418139,"[0.8103078008667549, 0.48946892893370064, 0.6948752467103683, 0.40153749309281833, 0.3861536174779686, 0.5434189265273118, 0.0, 0.44778971369847614]"
9,0.00029404405285154137,0.43326981365680695,0.5026577947436182,0.7408627595091283,0.6345931543846448,0.4830230502324684,0.5028136731790807,0.7545620574935137,0.6336777404103049,"[0.8053450598730584, 0.5636267922581626, 0.7319380875668329, 0.4628082725032342, 0.38458846285372317, 0.5943475261704562, 0.0, 0.47985518420717854]"
10,0.0002926584774442729,0.4165537772994292,0.5138808343453891,0.7530008921042793,0.6435123583633704,0.4784041570725842,0.5061796621505426,0.7579115189029995,0.6356670299889977,"[0.7995153082155457, 0.5615688982128156, 0.7084373545060727, 0.4583241148625115, 0.40897921690205535, 0.6310444529595922, 0.0, 0.4815679515457473]"
