epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.6196500399533442,0.3029411764705882,1.7767555405111874,0.707843137254902,0.0002999814948722491
2,0.940114302261203,0.8911764705882353,0.6469399433509976,0.8960784313725491,0.0002999259840548597
3,0.18486152650678858,0.9901960784313726,0.36035601254187377,0.9333333333333333,0.0002998334812442955
4,0.054320965027984454,0.9990196078431373,0.3368754714581312,0.9333333333333333,0.0002997040092642407
5,0.05684839964789503,0.9950980392156863,0.26739486140363355,0.95,0.00029953760005996916
6,0.021290856329541582,1.0,0.21990943031714244,0.9509803921568627,0.000299334294690462
7,0.012630928008287561,1.0,0.22135020907164787,0.9549019607843138,0.00029909414331827697
8,0.01342586807760538,1.0,0.20799514942017255,0.9558823529411765,0.0002988172051971717
9,0.006593373742904149,1.0,0.19801481297130094,0.9598039215686275,0.00029850354865748363
10,0.007040309590999694,1.0,0.1955303659553037,0.9588235294117647,0.0002981532510892707
11,0.0056258524585442215,1.0,0.18640998518642257,0.961764705882353,0.0002977663989232161
12,0.006471505072698289,1.0,0.2002257243419687,0.9549019607843138,0.0002973430876093033
13,0.00390721814862142,1.0,0.1861897911949485,0.953921568627451,0.00029688342159326487
14,0.003400559714246614,1.0,0.17972721945786593,0.9588235294117647,0.00029638751429081215
15,0.0038335568974634596,1.0,0.1844741375897737,0.953921568627451,0.0002958554880596515
16,0.004164381616511474,1.0,0.19332504149197655,0.953921568627451,0.00029528747416929463
17,0.0024561850892781626,1.0,0.18200369787438975,0.95,0.0002946836127686697
18,0.0026799874163378834,1.0,0.1806645348156784,0.9549019607843138,0.0002940440528515414
19,0.0017474640546567446,1.0,0.17850456950072127,0.9558823529411765,0.00029336895221974946
20,0.0015910663135240183,1.0,0.17434695711377643,0.9588235294117647,0.000292658477444273
21,0.0021476649065209808,1.0,0.16881776163582782,0.9598039215686275,0.00029191280382413173
22,0.001297295338236818,1.0,0.16748887269538554,0.9588235294117647,0.00029113211534313374
23,0.0015599707906207472,1.0,0.16781924327689351,0.9598039215686275,0.00029031660462448003
24,0.0010122341846855467,1.0,0.16678940446764304,0.957843137254902,0.0002894664728832376
25,0.0012580022508022833,1.0,0.1693020443477686,0.9598039215686275,0.0002885819298766929
26,0.0009120161406577145,1.0,0.16441582101488522,0.957843137254902,0.000287663193852597
