model,run_name,pretrained,learning_rate,weight_decay,batch_size,label_smoothing,best_epoch,epochs_completed,best_val_acc,test_acc,test_loss,summary_path
convnext_tiny,convnext_tiny_pretrained_lr5e-05_wd0p0001_bs16_ls0,True,5e-05,0.0001,16,0.0,21,36,0.957843137254902,0.9469832493088307,0.32686388303866076,experiment_results/extended_cnn_grid/convnext_tiny_pretrained_lr5e-05_wd0p0001_bs16_ls0/summary.json
convnext_tiny,convnext_tiny_pretrained_lr5e-05_wd1e-05_bs16_ls0,True,5e-05,1e-05,16,0.0,21,36,0.957843137254902,0.9469832493088307,0.3268597431027719,experiment_results/extended_cnn_grid/convnext_tiny_pretrained_lr5e-05_wd1e-05_bs16_ls0/summary.json
convnext_tiny,convnext_tiny_pretrained_lr0p0003_wd0p0001_bs16_ls0p1,True,0.0003,0.0001,16,0.1,17,32,0.9568627450980393,0.9408033826638478,1.030008909895781,experiment_results/extended_cnn_grid/convnext_tiny_pretrained_lr0p0003_wd0p0001_bs16_ls0p1/summary.json
resnet50,resnet50_pretrained_lr0p0003_wd0p0001_bs16_ls0p1,True,0.0003,0.0001,16,0.1,38,53,0.9549019607843138,0.9277931370954626,1.066221928534459,experiment_results/extended_cnn_grid/resnet50_pretrained_lr0p0003_wd0p0001_bs16_ls0p1/summary.json
efficientnet_b0,efficientnet_b0_pretrained_lr0p0003_wd1e-05_bs32_ls0p1,True,0.0003,1e-05,32,0.1,54,69,0.9549019607843138,0.9282810213042771,1.1157033447231348,experiment_results/extended_cnn_grid/efficientnet_b0_pretrained_lr0p0003_wd1e-05_bs32_ls0p1/summary.json
convnext_tiny,convnext_tiny_pretrained_lr0p0003_wd1e-05_bs16_ls0p1,True,0.0003,1e-05,16,0.1,11,26,0.9549019607843138,0.9395023581070092,1.078334590170825,experiment_results/extended_cnn_grid/convnext_tiny_pretrained_lr0p0003_wd1e-05_bs16_ls0p1/summary.json
resnet101,resnet101_pretrained_lr0p0003_wd0p0001_bs32_ls0p1,True,0.0003,0.0001,32,0.1,31,46,0.953921568627451,0.9281183932346723,1.06930567231832,experiment_results/extended_cnn_grid/resnet101_pretrained_lr0p0003_wd0p0001_bs32_ls0p1/summary.json
efficientnet_b0,efficientnet_b0_pretrained_lr0p0003_wd0p0001_bs16_ls0p1,True,0.0003,0.0001,16,0.1,50,65,0.9529411764705882,0.9264921125386242,1.1091763767348517,experiment_results/extended_cnn_grid/efficientnet_b0_pretrained_lr0p0003_wd0p0001_bs16_ls0p1/summary.json
efficientnet_b0,efficientnet_b0_pretrained_lr0p0003_wd0p0001_bs32_ls0p1,True,0.0003,0.0001,32,0.1,54,69,0.9529411764705882,0.9277931370954626,1.1163172059416635,experiment_results/extended_cnn_grid/efficientnet_b0_pretrained_lr0p0003_wd0p0001_bs32_ls0p1/summary.json
efficientnet_b0,efficientnet_b0_pretrained_lr0p0003_wd1e-05_bs16_ls0p1,True,0.0003,1e-05,16,0.1,50,65,0.9529411764705882,0.9273052528866482,1.1078888208115076,experiment_results/extended_cnn_grid/efficientnet_b0_pretrained_lr0p0003_wd1e-05_bs16_ls0p1/summary.json
efficientnet_b3,efficientnet_b3_pretrained_lr0p0003_wd1e-05_bs16_ls0p1,True,0.0003,1e-05,16,0.1,40,55,0.9519607843137254,0.9289315335826964,1.0670145080038775,experiment_results/extended_cnn_grid/efficientnet_b3_pretrained_lr0p0003_wd1e-05_bs16_ls0p1/summary.json
efficientnet_b3,efficientnet_b3_pretrained_lr0p0003_wd1e-05_bs32_ls0p1,True,0.0003,1e-05,32,0.1,44,59,0.9519607843137254,0.9312083265571638,1.0650612393672494,experiment_results/extended_cnn_grid/efficientnet_b3_pretrained_lr0p0003_wd1e-05_bs32_ls0p1/summary.json
efficientnet_b3,efficientnet_b3_pretrained_lr0p0001_wd0p0001_bs16_ls0,True,0.0001,0.0001,16,0.0,44,59,0.9519607843137254,0.9266547406082289,0.2809088917403376,experiment_results/extended_cnn_grid/efficientnet_b3_pretrained_lr0p0001_wd0p0001_bs16_ls0/summary.json
resnet101,resnet101_pretrained_lr0p0003_wd0p0001_bs16_ls0p1,True,0.0003,0.0001,16,0.1,35,50,0.9509803921568627,0.9297446739307205,1.047873588863825,experiment_results/extended_cnn_grid/resnet101_pretrained_lr0p0003_wd0p0001_bs16_ls0p1/summary.json
efficientnet_b3,efficientnet_b3_pretrained_lr0p0003_wd0p0001_bs16_ls0p1,True,0.0003,0.0001,16,0.1,40,55,0.9509803921568627,0.9300699300699301,1.057155966458233,experiment_results/extended_cnn_grid/efficientnet_b3_pretrained_lr0p0003_wd0p0001_bs16_ls0p1/summary.json
resnet50,resnet50_pretrained_lr0p0001_wd0p0001_bs16_ls0p1,True,0.0001,0.0001,16,0.1,18,33,0.95,0.9217758985200846,1.139387109402157,experiment_results/extended_cnn_grid/resnet50_pretrained_lr0p0001_wd0p0001_bs16_ls0p1/summary.json
resnet50,resnet50_pretrained_lr0p0001_wd1e-05_bs16_ls0p1,True,0.0001,1e-05,16,0.1,18,33,0.95,0.9180354529191739,1.148190754722785,experiment_results/extended_cnn_grid/resnet50_pretrained_lr0p0001_wd1e-05_bs16_ls0p1/summary.json
efficientnet_b3,efficientnet_b3_pretrained_lr0p0001_wd1e-05_bs16_ls0p1,True,0.0001,1e-05,16,0.1,38,53,0.95,0.9312083265571638,1.1300240152637093,experiment_results/extended_cnn_grid/efficientnet_b3_pretrained_lr0p0001_wd1e-05_bs16_ls0p1/summary.json
resnet50,resnet50_pretrained_lr5e-05_wd0p0001_bs16_ls0p1,True,5e-05,0.0001,16,0.1,25,40,0.9480392156862745,0.9208001301024556,1.1495950953187661,experiment_results/extended_cnn_grid/resnet50_pretrained_lr5e-05_wd0p0001_bs16_ls0p1/summary.json
