epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.474307776432411,0.10882352941176471,3.963268900852577,0.3803921568627451,9.999383162408304e-05
2,2.7679202392989515,0.6078431372549019,1.6130487738871107,0.7607843137254902,9.997532801828658e-05
3,0.932362140861212,0.8745098039215686,0.6544219392771814,0.8666666666666667,9.994449374809851e-05
4,0.28922957655261544,0.9735294117647059,0.5071880313987825,0.8823529411764706,9.990133642141359e-05
5,0.13092027464333703,0.9872549019607844,0.3761273668677199,0.9107843137254902,9.98458666866564e-05
6,0.07046474975113776,0.9941176470588236,0.36070561001406,0.9088235294117647,9.9778098230154e-05
7,0.04362980346469318,0.996078431372549,0.35944686756998884,0.9156862745098039,9.9698047772759e-05
8,0.03858771017369102,0.9980392156862745,0.3564394829977377,0.9068627450980392,9.96057350657239e-05
9,0.025422660122607268,0.9980392156862745,0.3540272995099133,0.9088235294117647,9.950118288582787e-05
10,0.021693545463038425,0.9990196078431373,0.35648573182304116,0.9088235294117647,9.938441702975689e-05
11,0.017445426843329972,1.0,0.3223906429740144,0.9098039215686274,9.925546630773869e-05
12,0.028629214323911013,0.996078431372549,0.3471993765812002,0.8960784313725491,9.911436253643444e-05
13,0.02191331960333913,0.9980392156862745,0.4040073955066356,0.9029411764705882,9.896114053108829e-05
14,0.042046158289646404,0.9921568627450981,0.3192750856828164,0.9166666666666666,9.879583809693738e-05
15,0.03154389226407397,0.9950980392156863,0.39547452953479745,0.8960784313725491,9.861849601988384e-05
16,0.018525556883975572,0.9970588235294118,0.2955528021260512,0.9137254901960784,9.842915805643157e-05
17,0.009265469449261824,0.9990196078431373,0.2991259267371075,0.9186274509803921,9.822787092288992e-05
18,0.018224708239237466,0.996078431372549,0.3209756298657215,0.9176470588235294,9.801468428384718e-05
19,0.01240315157189673,0.9980392156862745,0.3175418260041624,0.9166666666666666,9.778965073991652e-05
20,0.010729057772778997,0.9980392156862745,0.35731445831137104,0.903921568627451,9.75528258147577e-05
21,0.05665826596429243,0.9892156862745098,0.2949475419579768,0.9215686274509803,9.730426794137729e-05
22,0.048318414050428304,0.9941176470588236,0.304515794644534,0.9215686274509803,9.70440384477113e-05
23,0.020350097503293963,0.9950980392156863,0.33136721000933617,0.9196078431372549,9.67722015414934e-05
24,0.02818939622637688,0.9950980392156863,0.3573563412379693,0.907843137254902,9.64888242944126e-05
25,0.03137557644798767,0.996078431372549,0.29459397160977707,0.9245098039215687,9.619397662556436e-05
