epoch,lr,train_loss,train_miou,train_pixel_acc,train_mean_acc,val_loss,val_miou,val_pixel_acc,val_mean_acc,val_per_class_iou
1,0.0002999259840548597,2.2449808591290523,0.2833100371558525,0.5248581308632861,0.44173248611137633,1.9243172295739717,0.3749790053491421,0.6659498723232962,0.5159353142400909,"[0.7464300252684463, 0.42120003507848813, 0.6824268691266326, 0.33750729834093274, 0.024126531975875228, 0.46924352390012364, 0.0, 0.31889775910263785]"
2,0.0002997040092642407,1.8152781458277452,0.40411909943207674,0.6774434184772535,0.5292832871519533,1.7864008573728187,0.3859563073895052,0.661457966529553,0.5182226102144892,"[0.7858122103025879, 0.4786540220020623, 0.6162140690253747, 0.4149371366547984, 0.04710802760883911, 0.424923261182174, 0.0, 0.3200017323402051]"
3,0.000299334294690462,1.6480385065078735,0.42746356702985466,0.7011513131854693,0.5482681789477498,1.6837415049009234,0.41092764950402816,0.688802909913256,0.5301270030316274,"[0.7746253228494362, 0.5303353178480608, 0.712172256562211, 0.4130710120623286, 0.18596637982433503, 0.5042079881406979, 0.0, 0.16704291874515598]"
4,0.0002988172051971717,1.5057933691300844,0.46370320154672806,0.7257464009144419,0.5836538894414767,1.4934852925416464,0.4570550290896293,0.7188076981710759,0.5888793742110203,"[0.7984915134806018, 0.5474872376334367, 0.735016566185432, 0.4471395148873203, 0.21781227607580683, 0.49295344526787793, 0.0, 0.4175396791865591]"
5,0.00029815325108927063,1.4012830288786637,0.4838409886697013,0.7396136411931385,0.6016161446028101,1.4620458990613991,0.4594005276923747,0.7255454348056667,0.5805099934285964,"[0.7695899107102454, 0.5123629614543666, 0.730963598940451, 0.44050872744160813, 0.226236014112859, 0.5554267291078259, 0.0, 0.4401162797716416]"
6,0.00029734308760930326,1.3541493070752997,0.49227078366884275,0.7428047099400966,0.6113684326271092,1.3678650844877012,0.4867044121118808,0.7465174670103927,0.604672608312196,"[0.7886292802162783, 0.5224207067086458, 0.7558367709216123, 0.4709705966670406, 0.32233459237952905, 0.572248834196693, 0.0, 0.46119451580524756]"
7,0.00029638751429081204,1.3041701740340184,0.5030150084966599,0.7543460599912394,0.6199789628767762,1.3219151530310371,0.499725369815475,0.7600774030481539,0.6213731556440276,"[0.8094777050329798, 0.5256594654268687, 0.7675159063755056, 0.47476572131878436, 0.3375544109977537, 0.6009386128257196, 0.0, 0.481891136546188]"
8,0.0002952874741692946,1.2679558435552998,0.5080446537654151,0.7566563978998339,0.624687146780897,1.4158836525177287,0.4685094782544627,0.7110417615906537,0.6222745218960113,"[0.792632518702152, 0.4665681019258464, 0.7518160070584597, 0.4694272263774755, 0.41557249763480136, 0.39072870594287623, 0.0, 0.4613307683940907]"
9,0.00029404405285154137,1.210469525111349,0.5252340909260758,0.7689986923773927,0.6419109498198651,1.237225512477839,0.5202394590779376,0.7798906353614121,0.6396642244092465,"[0.8378887014384536, 0.5794486421301692, 0.7681262948933212, 0.49391982815026975, 0.3324247769598697, 0.649110880140602, 0.0, 0.5009965489108151]"
10,0.0002926584774442729,1.1662167318557437,0.5358191458512542,0.7770865229139833,0.6525356938043696,1.3878194951565466,0.4581378004887857,0.7248205440793736,0.5924949524720968,"[0.7973904895881728, 0.4892782144297653, 0.7471558699711538, 0.39157779082763455, 0.26455272998380763, 0.5018917311358659, 0.0, 0.47325557797388623]"
11,0.00029113211534313374,1.1529788296473653,0.538020267616661,0.7819212262120334,0.6512261121947006,1.2047744710868764,0.527552494526921,0.7841976262788573,0.6403089459196979,"[0.8274759359257656, 0.5642953429354085, 0.7812200327249067, 0.4760998040070154, 0.3989721987629458, 0.6552966297064673, 0.0, 0.5170600121528584]"
12,0.0002894664728832376,1.1383062216796374,0.5410794091319788,0.7832831096107838,0.6545440082472541,1.2188142359813796,0.5242814396932248,0.771455587657646,0.6530700240987801,"[0.8408423381276393, 0.5950660995334617, 0.7612849478014472, 0.49363562377352177, 0.4287020210364007, 0.5869643042476176, 0.0, 0.48775618302571]"
13,0.0002876631938525971,1.0954122190412723,0.5520479109979362,0.7917346533130694,0.6650509462144432,1.221236374890693,0.5287868159454439,0.7728388485771747,0.6548464180723493,"[0.8296905581532923, 0.5484995244566362, 0.7842062394674368, 0.46521695707737243, 0.474565473966298, 0.6223350987112664, 0.0, 0.505780675731249]"
14,0.0002857240578699029,1.0847496406028145,0.5527502912494873,0.7925990779111943,0.6683073949325206,1.1808033947632692,0.523226677045382,0.785461150238882,0.6326541123037728,"[0.8295953564569364, 0.6027580437947013, 0.7778235282074147, 0.46491507845816865, 0.3830793967274286, 0.6662576059114239, 0.0004354587869362364, 0.46094894802004616]"
15,0.00028365097862825513,1.0611548768846613,0.563822128731905,0.8000892211982416,0.6740966982664136,1.1610963099470764,0.5503143021059247,0.7945875232623525,0.6652125611169298,"[0.8255648776256735, 0.598873279665667, 0.7768860984809498, 0.49901307297161596, 0.5004768650112416, 0.6637175620665747, 0.0002488593944421402, 0.5377338016312326]"
16,0.0002814460020065795,1.052384170262437,0.5623330668066506,0.7984971548626468,0.6753832683050272,1.145601421873146,0.5410308051671534,0.7929805336509068,0.6508754176333147,"[0.8197670541224723, 0.5786909526219634, 0.8029254403513506, 0.49750593631729517, 0.47453066049979153, 0.6588789222444343, 0.0019134895844107487, 0.4940339855955092]"
17,0.0002791113040505915,1.0385181684243052,0.5673141950698313,0.8026470822331019,0.6795951755268242,1.0860052910920615,0.5546390865846046,0.8084844559822648,0.6684457653567658,"[0.8274593814200961, 0.6145756761044969, 0.7930553361524477, 0.49984671484200205, 0.4242260346580707, 0.711962675754289, 0.007197051364975719, 0.5587898223804586]"
18,0.00027664918882530225,1.0230378775220168,0.5710295526597584,0.8035131439174331,0.6824891915111049,1.1543185020161566,0.5498428617955712,0.7904178453718613,0.6813252381359745,"[0.8295969398314927, 0.5791193538402295, 0.8125320113874849, 0.5013951654484243, 0.505411402641611, 0.6299802849761383, 0.004997415130105118, 0.5357103211090841]"
19,0.00027406208614118424,1.0065672374085377,0.5794672982310975,0.8073999096802308,0.6895000734683499,1.079718907302785,0.5691501183865705,0.8079001737955726,0.6909908084553085,"[0.8252312100728025, 0.5989329831651949, 0.8243448135114013, 0.4883368436542901, 0.5377391147541511, 0.6781062937367283, 0.03071121776128733, 0.5697984704367083]"
20,0.0002713525491562421,0.9671871638611743,0.5914941256576137,0.817432146277099,0.6999661257508651,1.1553544541385685,0.547268313994698,0.7806698410183671,0.6842698460926169,"[0.8364617437741001, 0.5881829864200863, 0.8003091075435056, 0.538029158282395, 0.4982505050695324, 0.5725515200750164, 0.021911523325488954, 0.5224499674674596]"
21,0.00026852325185635354,0.9812115815125013,0.5895826562544422,0.8123132361973977,0.7009340928944203,1.035050405520145,0.5856495143950271,0.8231078661567817,0.6919666479741661,"[0.8558933491385512, 0.6067802959627647, 0.8347511229620092, 0.5244769254356825, 0.5485065671044737, 0.7147673932199786, 0.019903245467012037, 0.5801172158697452]"
22,0.0002655769864163684,0.9511512580670809,0.6029917018850012,0.8218529683334753,0.7090974843299487,1.060910013234504,0.5914756046460632,0.8135248815476801,0.715929708106711,"[0.8391252944275218, 0.6042624035763812, 0.8423839450533496, 0.4737941145708136, 0.5686698854006811, 0.686153067545404, 0.14939130839598705, 0.5680248181983666]"
