epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.119294869666006,0.23529411764705882,3.0688897712557925,0.4676470588235294,0.0002999814948722491
2,2.5851538171955184,0.7686274509803922,2.0816783414167515,0.6882352941176471,0.0002999259840548597
3,1.4363755020440794,0.9019607843137255,1.446208940300287,0.8186274509803921,0.0002998334812442955
4,0.5511598726113637,0.9852941176470589,1.0677697083529305,0.8558823529411764,0.0002997040092642407
5,0.1861771443310906,0.9990196078431373,0.7707212955343957,0.8941176470588236,0.00029953760005996916
6,0.08080286120667177,0.9980392156862745,0.7185392529356713,0.888235294117647,0.000299334294690462
7,0.0458267983268289,1.0,0.5655976138862909,0.907843137254902,0.00029909414331827697
8,0.026307289565310758,1.0,0.5195230534263685,0.9147058823529411,0.0002988172051971717
9,0.019188756466496225,1.0,0.512016404726926,0.9107843137254902,0.00029850354865748363
10,0.01452509746978096,1.0,0.48130496787089927,0.9127450980392157,0.0002981532510892707
11,0.010727425204480395,1.0,0.45235267538650364,0.9156862745098039,0.0002977663989232161
12,0.009877169099362457,1.0,0.440254620477265,0.9196078431372549,0.0002973430876093033
13,0.008622840266017354,1.0,0.4341327133131962,0.9196078431372549,0.00029688342159326487
14,0.007483500516151681,1.0,0.419693041081522,0.9235294117647059,0.00029638751429081215
15,0.00683277936506213,1.0,0.4209780000004114,0.9235294117647059,0.0002958554880596515
16,0.005876751996430696,1.0,0.4161072909832001,0.9235294117647059,0.00029528747416929463
17,0.00546631832406217,1.0,0.40717859057819145,0.9274509803921569,0.0002946836127686697
18,0.004723706722770836,1.0,0.40383965373039243,0.9245098039215687,0.0002940440528515414
19,0.004312676047066263,1.0,0.40420765888457205,0.9225490196078432,0.00029336895221974946
20,0.004565974703862094,1.0,0.40168703069873885,0.9225490196078432,0.000292658477444273
21,0.0035630178756500576,1.0,0.39771166934686547,0.9254901960784314,0.00029191280382413173
22,0.0037349077726842143,1.0,0.39251941512612737,0.9264705882352942,0.00029113211534313374
23,0.0034382741140457345,1.0,0.3894959075193779,0.9245098039215687,0.00029031660462448003
24,0.0031192380186243385,1.0,0.38358138612672393,0.9254901960784314,0.0002894664728832376
25,0.0029365184753402775,1.0,0.3786871019531699,0.9264705882352942,0.0002885819298766929
26,0.00276542215096746,1.0,0.3792544838844561,0.9235294117647059,0.000287663193852597
27,0.0023613866062506157,1.0,0.3777622277830161,0.9215686274509803,0.00028671049149531664
