epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.619612043511634,0.3029411764705882,1.7766124748716168,0.7068627450980393,0.0002999814948722491
2,0.9399969360407661,0.8911764705882353,0.6470003717085895,0.8960784313725491,0.0002999259840548597
3,0.18483837723147636,0.9901960784313726,0.36086969436968075,0.9333333333333333,0.0002998334812442955
4,0.05424561770085026,0.9990196078431373,0.3379897919793924,0.9333333333333333,0.0002997040092642407
5,0.05685900602416665,0.9950980392156863,0.2677621201995541,0.95,0.00029953760005996916
6,0.021305715997575546,1.0,0.2200112207920528,0.95,0.000299334294690462
7,0.01262019807472825,1.0,0.2214479438230103,0.9549019607843138,0.00029909414331827697
8,0.013424380994675791,1.0,0.20807290466173606,0.9558823529411765,0.0002988172051971717
9,0.006597955470137736,1.0,0.19806451675682968,0.9588235294117647,0.00029850354865748363
10,0.00704748220833055,1.0,0.1956005893355491,0.9588235294117647,0.0002981532510892707
11,0.005627765524767193,1.0,0.1864300959232245,0.961764705882353,0.0002977663989232161
12,0.006474926660531292,1.0,0.20044703222080773,0.9549019607843138,0.0002973430876093033
13,0.003915442555558448,1.0,0.1862751333919518,0.953921568627451,0.00029688342159326487
14,0.003347312439890469,1.0,0.1787914915886872,0.9598039215686275,0.00029638751429081215
15,0.0037487030997141904,1.0,0.18339796126911453,0.9549019607843138,0.0002958554880596515
16,0.0041403045110842765,1.0,0.19308304105538363,0.9529411764705882,0.00029528747416929463
17,0.0024546162517485666,1.0,0.18210831959549265,0.95,0.0002946836127686697
18,0.0026559358378233132,1.0,0.1801811110255692,0.9549019607843138,0.0002940440528515414
19,0.0017284157729305911,1.0,0.1791031494837108,0.9568627450980393,0.00029336895221974946
20,0.001591368089886565,1.0,0.1739525202890018,0.957843137254902,0.000292658477444273
21,0.0020948110894738314,1.0,0.16867498043267165,0.9598039215686275,0.00029191280382413173
22,0.0012956574810303603,1.0,0.16716937661517922,0.9598039215686275,0.00029113211534313374
23,0.0015621022524439968,1.0,0.16736885690605086,0.9588235294117647,0.00029031660462448003
24,0.001010305827994849,1.0,0.16644459049555235,0.9588235294117647,0.0002894664728832376
25,0.0012573297030529847,1.0,0.16889052936971627,0.9588235294117647,0.0002885819298766929
26,0.0009082044735003044,1.0,0.1639484940124128,0.957843137254902,0.000287663193852597
