epoch,lr,train_loss,train_miou,train_pixel_acc,train_mean_acc,val_loss,val_miou,val_pixel_acc,val_mean_acc,val_per_class_iou
1,0.0002999259840548597,1.483818625148974,0.2846826067049559,0.5306455537115599,0.43952149353625375,1.2075729916028888,0.3448308157903617,0.6460703635890281,0.4886891731634004,"[0.7258164774807763, 0.3492916689054586, 0.6550945780726609, 0.288535874063737, 0.014895703141835108, 0.4735689584608395, 0.0, 0.25144326619758595]"
2,0.0002997040092642407,1.154721975326538,0.4035548808620386,0.676865785533737,0.5279024480063312,1.3341545401332535,0.306392918100333,0.5595023727080778,0.45147691089929365,"[0.7807046253440403, 0.3924606895586871, 0.4833031761674943, 0.3547920514146414, 0.030227929856182643, 0.22892956106648038, 0.0, 0.18072531139513773]"
3,0.000299334294690462,1.0371988078481273,0.4212832075658617,0.6972010241697468,0.5414464631109208,0.9695109045394114,0.4037557030459791,0.7018273861739086,0.5211359199745168,"[0.7956616773678808, 0.5118860326487017, 0.7034113259013776, 0.34598144923129887, 0.04133691338269462, 0.5457255020573798, 0.0, 0.28604272377849954]"
4,0.0002988172051971717,0.9297300169342443,0.450556653806709,0.7222741626115574,0.5679727585476662,0.9016095739658748,0.442080177985896,0.712951083973446,0.5677069859471866,"[0.7825751587727087, 0.5050887009850131, 0.720092263899793, 0.46733196097735613, 0.11610103654896094, 0.5211965204907866, 0.0, 0.42425578221254934]"
5,0.00029815325108927063,0.8570888850249743,0.4762824285825021,0.7407091103524269,0.5901961423138714,0.8351189967627838,0.46811262515223817,0.7439159649157282,0.5879806791251143,"[0.7965872656158198, 0.5077027882163974, 0.7273610734158723, 0.4569093873381917, 0.18848708932908576, 0.5971949413498067, 0.0, 0.47065845595273176]"
6,0.00029734308760930326,0.8293215248145556,0.48070239234037576,0.7398627798650028,0.5957973219904087,0.8113506570040623,0.4602992580074258,0.7328302265396421,0.5791736344428473,"[0.8142163149017353, 0.48985712500520684, 0.7138606140372875, 0.4515537446751678, 0.21160610653424722, 0.5607379126878502, 0.0, 0.4405622462179119]"
7,0.00029638751429081204,0.7927540415211728,0.49105324431042263,0.751349007500332,0.6045377580307152,0.7599320294701051,0.48964899399458217,0.7572796348669633,0.613104792083139,"[0.7874715671210523, 0.5508308934843774, 0.7462651024459858, 0.4919311668472797, 0.2459104679740305, 0.598631996564494, 0.0, 0.4961507575194376]"
8,0.0002952874741692946,0.7701784262531682,0.4993343503817422,0.7548702722269726,0.6124400357477919,0.7921769797244919,0.49101154034569017,0.7399918637454429,0.634856659794151,"[0.7984954423865559, 0.5158176165039442, 0.7611242042381492, 0.4987859499804067, 0.3724738381377639, 0.499458743599655, 0.0, 0.48193652791904706]"
9,0.00029404405285154137,0.7327284310993395,0.5119421429205663,0.7644067948124615,0.623937544809714,0.7130174040794373,0.5119038320700796,0.776163044389701,0.6326806645959275,"[0.8316784205038142, 0.5916637125702159, 0.7550374374962217, 0.48830408187742375, 0.285940641609045, 0.6441678689900081, 0.0, 0.4984384935139087]"
10,0.0002926584774442729,0.6985830425431854,0.5265704130758693,0.7753515346444598,0.6386859441370394,0.8296016605100899,0.44547652684812894,0.7138506368700246,0.5883967196006924,"[0.7916426666563924, 0.48245066127093045, 0.727436933150969, 0.4539051295978617, 0.17793111298133304, 0.4595146869737452, 0.0, 0.47093102415380006]"
